,Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch,dominant_topic,feature name
0,669660324,2,2018-10,United States,It is no doubt a legendary place but I just dont think it's worth the money and headache of overcrowding and overpriced everything. Disney continues to raise the price of admission and the crowds are ridiculous every single day. There are plenty of things to do in SoCal that are cheap or free. Save your family hundreds of dollars and go somewhere else. ,Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
1,669505006,1,missing,United States,"I   ve been to Disneyland several times in the past 3 decades. This visit, I sensed the employees were disgruntled or unhappy. Very few smiles from the staff. In addition, the staff was prowling for people crossing the ropes while Fantasmic was on. Why do we need a Fastpass to enter to watch the Fan tasmic show when everyone has been situated and there is tons of space for paying customers without a Fastpass? See attached picture. Through the whole show, the entire space was unoccupied while there were 5 8 yr olds next to us straining to catch a glimpse.If you wanna pay $129 to stand in line for hours to ride an average of 9 rides that last 3 to 11 minute, this is the place for you. Disneyland has become so greedy that they overcrowd by double capacity just to make money without a care for their customers. It   s ridiculous to have minimal places to sit and rest with this large of a park. I highly recommend Universal Studios VIP pass over this mess.",Disneyland_California,7,told disneyland cast ask disnei said member dai park employe ticket peopl ride time line
2,668730191,2,2019-4,United Kingdom,"My partner and I paid $149 each for tickets to this park as my partner wanted to see the original Disney castle.When paying for the tickets nothing was mentioned about a couple of issues we had.Firstly we walked through and tried to take a photo using a selfie stick to be told we either have to throw it away or take it back to the car or hotel as they are banned. So we had to leave and come back again.Then once we finally got back in we saw countless people with cameras on selfie sticks which was very annoying, but not as annoying as them not pre telling us before paying that the castle isn   t even visible as they are working on it or something. It was just wooden panels with a castle painted on it so we paid full price for partial access and activities to be available to us.We should have been told as we   d have left the park for another LA holiday and not wasted $300.Disney this is unacceptable and a true disappointment The only good thing was out breakfast in the Carnation Cafe where the staff were superb and the Apple cinnamon pancakes to die for.All in all a very expensive disappointing day thanks to Disney not pre advising people at the gate as to what works were or are being carried out.",Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
3,667955757,1,2019-1,Australia,"To all who comes to this happy place, welcome. Well Walts vision has been lost along the way over the past few years as this is my third and final trip to Disneyland. I have never experienced so many rude and obnoxious staff throughout the park as we did this time. If the staff are that unhappy with their jobs or pay then step aside and give a job to someone who wants to work. Disney has just turned into a massive cash cow who can't handle the large crowds but keep jamming people into the park until it becomes uncomfortable. We were fully aware of the large crowds of the Christmas period but disneyland promoted activities for you to enjoy and when we arrived at these events people were being moved along by staff, saying that you cannot stand there.Disney have made WiFi available in the park aswell and this just leads to people not watching where they are going because all people are doing is looking at phones instead of watching where they are walking.Do yourself a favor and go to Knotts Berry Farm, its a lot cheaper and not as crowded.",Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
4,664615049,1,2019-4,Australia,"I am really disappointed with Disneyland.Old, tired, over crowded and prices are simply a money grab.The fast pass is a rip off and only allows you to reserve a ride every 2 hours.Fast pass again is a money grab that allows people to pay extra money to jump the queue in front of other customers. This is so wrong on many levels. Honest paying customers having to wait in line longer while others jump the queue. I absolutely hate what the fast pass allows. It makes my blood boil as these rich people jump the queue ahead of me. From listening to others in the lines, others agree. Poor form!The characters are hardly seen, forget a photo, there are so many people.Admission price, really.. very over priced. 2 put of 10 stars",Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
5,663791913,1,2019-4,United States,The max pass worked ok for Disneyland but not California Adventure. All the fast passes are gone within a few hours so it is a waste. The new system has doubled the wait times in the stand by lines because as they will tell you  fast pass riders have priority.  Under the old system you pulled a fast pass ticket for free. When you time to use it came you stood in a short line. While you waited for the fast pass time you stood in a line. Now you either stand in a line for fast pass if you can get one or you stand in a line with a few hour wait time. This was all a scheme for Disney to make more money and in the end it made things worse as far as wait times go.,Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
6,662899563,1,2019-3,United States,"Came for Anniversary Trip, Rides were extremely long. Couple of them broke down. The castle was under Construction and no where does it even state this!!!! Some people come for the Whole Experience! What a huge Disappointment for the large amount of money you spent! Visited both parks and were extremely overcrowded! I   m so happy to see you are making it NO SMOKING, Maybe you could make it an Adults only Morning Admission sometime?? I have 6 kids and we went for a little getaway and gift to each and it was not even what we thought! My experience at the other park was the worst! I was knocked over by a little boy! Just horrible, it was a horrible visit! This truly is not the    Happiest place on Earth   !!!!",Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
7,662738160,2,2019-3,Australia,"Dear DisneylandAfter paying $1000USD for tickets for my family. I don   t think I   m being unreasonable to ask for the following. DISNEYLAND CASTLE I couldn   t believe that there wasn   t any notifications to advise you are renovating the castle and it   s currently all covered up. We missed our chance for the iconic photo in front of the castle. WORKING RIDES. we wasted so much time on your broken down rides. We were stuck inside Splash Mountain for 30mins and then escorted out of the canoes, through the attraction and out to the backlot. There was no apology. Indiana Jones broke down 3 times. My husband and daughter were stuck for 45mins and we were turned around twice due to the ride malfunctioning. Haunted Mansion closed as we approached with our fast pass and then we went up to Roger Rabbit in ToonTown only to be told the ride is closed after lining up. Then being part of an angry mob of people who were turned away and having to rejoin the back of the queue when it reopened. PLEASE UPDATE YOUR APP TO ADVISE WHEN RIDES ARE CLOSED!FIX YOUR WIFI Your wifi reminds me of Australia   s NBN, never working and only available in a couple of spots around the place. In 2019, it   s a minimum to offer wifi especially with a large percentage of international travellers. CROWD CONTROL last Thursday, I felt like a sardine. There must be a limit to the number of people who can access this place. It was really unpleasant being squashed in a crowd with young children and aggressive pram pushers. THE GOOD? Fast passes and golden hour. I would have left Disney without these options. Also having the option to go to California Adventure Park. It   s a shame that it   s taken me 44 years to get to Disneyland and although I enjoyed my day, it was Ted the magical experience that I hoped for. ",Disneyland_California,7,told disneyland cast ask disnei said member dai park employe ticket peopl ride time line
8,661925539,1,2019-3,Canada,"Extremely long wait times and short ride duration. Posted wait time 150 min and ended up waiting for 2 and 1 2 hours at Cars ride. Fast passes out by 10 am. Some staff helpful but normally looking like they would rather be somewhere else. Food costs high and again staff    unenthusiastic    at providing assistance. We   ve been to Disney Florida, Universal Florida and California and have never encountered wait times like this. There is no entertainment, no updates on wait times or staff available when waiting in these lines, just the same tracks of music playing over and over. Very disappointing way to spend the day and lots of money.",Disneyland_California,9,ride park line wait time disneyland dai disnei peopl hour crowd pass place visit like
9,661874846,1,2019-3,United States,No les recomiendo visitar Disneyland esta bien ocupado y las lineas vien largas mas de dos horas es ridiculo y los tickets bien caros uno trabaja bien dura por su dinero no es justo que cobren tanto. Espere mad de 2 horas para el juego de carros radiators spring para que me dijeran que se desconpuso. No se los recommiendo no es gusto para uno como papa tener que esperar tanto. really busy and long wait for rides. We waited 2 1 2 hours for radiator springs racer just to me told the ride was not working they gave us a fast past but still its ridiculous. We had 3 day park tickets so we went the next day and got a fast past to avoid the issue of waiting when our time came the fast past line was long and the wait was 45 60 min we could not wait as we had to leave.There was a lot of people and tickets are so expensive as an adult I would not want to visit Disney again your better off visiting Six Flags.,Disneyland_California,5,lo que screen cancer ho measur es bien para intens tinkerbel hora uno baton se
